,nome,cpf,idade,data,endereco,estado,pais
22,Sra. Rebeca Cunha,160.895.243-60,20,10/03/2004,"Jardim Gabrielly Monteiro
Barro Preto
47124-002 Mendonça das Flores / PR","Passarela Sampaio, 70
Vila Copacabana
60837431 Araújo do Sul / RR",Brasil
23,Vinicius Mendonça,360.752.891-86,32,25/04/1992,"Vale Hadassa Pires, 7
Vila Mantiqueira
32657-032 Santos / RJ","Morro Melo
Vila São Gabriel Jacui
49980-947 Pastor / PR",Brasil
24,Caroline Souza,093.872.615-30,30,23/11/1994,"Campo Davi Luiz Cunha, 39
Nova Esperança
75240500 Nunes de Melo / AL","Largo Ana Cecília das Neves, 8
Vila Jardim Alvorada
54211-915 Casa Grande / PE",Brasil
25,Danilo Fogaça,127.065.948-02,51,17/07/1973,"Condomínio Santos, 8
Universitário
85153-220 Aragão / RJ","Sítio Nathan Caldeira, 30
Buraco Quente
57723827 Jesus do Galho / MT",Brasil
26,Isadora Monteiro,243.861.097-22,19,25/11/2005,"Rua Theodoro Nascimento, 59
São Benedito
36896-132 Siqueira / PR","Praia de Leão
Vila São Gabriel
89573763 Viana / MA",Brasil
27,Emanuel Pastor,145.697.038-01,35,26/06/1989,"Distrito de Ribeiro, 49
Grota
55836473 Farias / AP","Via Heloísa Abreu
Pindorama
33091867 Martins de Barbosa / DF",Brasil
28,Srta. Luiza da Cruz,540.178.623-90,56,15/08/1968,"Vale de Câmara, 65
Conjunto Jardim Filadélfia
38787-516 Siqueira / MG","Largo de Azevedo
Vila Fumec
64363895 Sousa / AM",Brasil
29,Carlos Eduardo Cirino,083.951.274-05,19,27/12/2005,"Alameda Dante Sales, 2
Santo Agostinho
94258-172 da Cunha / SP","Parque de Almeida, 75
Maria Virgínia
14913544 Camargo / RR",Brasil
30,Henry Gabriel Nascimento,610.348.275-53,48,25/04/1976,"Estrada de Costela, 2
Camponesa 2ª Seção
22895-980 Pinto / RN","Vale de Mendonça, 68
São Francisco
72074402 Caldeira / RJ",Brasil
31,Lucas da Conceição,792.653.041-70,19,08/08/2005,"Viaduto de Santos, 68
Nova Cintra
22355034 Vargas / AC","Viaduto Marcelo Silva, 29
Nova Granada
54840664 Cassiano / PB",Brasil
32,Cauê Oliveira,623.419.785-09,26,08/03/1998,"Alameda Nina Sousa
Vista Do Sol
50934-840 Barros / AP","Lagoa de Pinto
Nossa Senhora Aparecida
67129162 Camargo da Prata / CE",Brasil
33,Ryan Pacheco,062.518.437-80,45,14/12/1979,"Rua Dias, 5
Santo André
34639872 Nogueira / MS","Rodovia Diego Pimenta, 5
Primeiro De Maio
09493300 Sousa / SE",Brasil
34,Luan Novaes,082.456.719-67,28,27/07/1996,"Conjunto da Mata, 47
Santa Maria
34993419 Barros do Norte / MS","Jardim Aurora Casa Grande, 99
São Geraldo
58716310 da Rosa / AP",Brasil
35,Erick Correia,074.258.619-76,19,17/10/2005,"Trevo Gael Henrique Nunes, 233
Vila Pilar
54064-594 Fonseca / SP","Parque de Montenegro, 597
Vila Calafate
36168115 Leão de Souza / MG",Brasil
36,Luiz Felipe Dias,706.849.315-75,45,05/12/1979,"Loteamento Guerra, 81
Ipe
84195536 Araújo / ES","Praça de das Neves, 71
Delta
76337503 Montenegro do Campo / RS",Brasil
37,Anthony Jesus,438.591.702-79,30,30/09/1994,"Rua Siqueira, 118
Camponesa 2ª Seção
06963-337 Farias / AM","Pátio Davi Miguel Sousa, 417
Concórdia
46325-349 Barbosa do Oeste / RJ",Brasil
38,Caio Sales,180.256.479-94,23,23/05/2001,"Travessa Luísa Gonçalves, 512
Heliopolis
11097477 Freitas / PI","Trecho Vinicius Machado, 2
Monte São José
62837-636 Campos / ES",Brasil
39,Bento da Rocha,742.301.598-97,30,12/11/1994,"Condomínio de Albuquerque, 40
Vila Sumaré
47170072 Pastor / RS","Estação de Garcia, 534
Das Industrias I
54704212 Porto do Campo / RR",Brasil
40,Lunna Rodrigues,460.273.915-61,51,05/09/1973,"Travessa de Araújo, 41
Piraja
45590-345 Cavalcante Verde / AC","Favela Fonseca, 44
Vila Da Amizade
19792-731 Nascimento / PR",Brasil
41,André Pacheco,374.856.029-00,21,06/07/2003,"Chácara Cavalcante, 5
Liberdade
16998908 Sampaio Verde / PR","Núcleo Pacheco, 5
Colégio Batista
37158223 Pastor de Goiás / PI",Brasil
42,Lunna Melo,164.827.305-07,24,26/08/2000,"Núcleo de Mendes
Vila Santa Rosa
55980585 Sousa / AL","Colônia Vargas, 882
Cruzeiro
55947-021 Leão / SC",Brasil
43,Manuella Gomes,612.347.089-22,53,28/12/1971,"Distrito Leandro Teixeira, 573
Serrano
56615014 Montenegro / MT","Aeroporto Alves, 48
Palmares
07911405 Viana / BA",Brasil
44,Nicole Monteiro,347.682.015-71,31,04/09/1993,"Área de Aparecida, 87
Vila Boa Vista
56297879 Guerra / AL","Pátio Olivia Marques, 83
Trevo
78243329 Freitas / PE",Brasil
45,Vitória da Rosa,095.213.784-41,26,08/05/1998,"Quadra Marina Castro, 361
Senhor Dos Passos
42133646 Moreira do Campo / MT","Sítio Theodoro Machado, 7
Glória
25280868 Marques / RJ",Brasil
46,Srta. Isabel Cardoso,517.034.298-50,54,22/02/1970,"Distrito João Alves, 6
Betânia
97112255 da Mata / RR","Morro de Alves, 5
Vila De Sá
89089-975 Castro do Oeste / PI",Brasil
47,Matteo Vargas,631.592.078-03,32,05/08/1992,"Praia Marques, 4
Olhos D'água
38153-392 da Rosa de Pires / AP","Fazenda Eduardo da Rocha, 7
Copacabana
09130881 Montenegro de Leão / ES",Brasil
48,Sr. Erick Fernandes,278.413.056-80,60,09/09/1964,"Estação Manuela Novaes, 4
Coqueiros
72222150 Ramos / PR","Avenida de Sousa, 18
Vale Do Jatoba
66255040 Moraes do Norte / AC",Brasil
49,Caroline Silva,093.572.614-43,43,03/08/1981,"Lago João Gabriel Mendonça, 7
Nova Granada
90042-684 Carvalho de Nunes / PI","Vila João Pedro Correia, 65
Concórdia
03530-293 Leão Alegre / ES",Brasil
50,Vitor Nogueira,290.586.134-70,45,07/10/1979,"Vale Caleb da Costa, 25
Marmiteiros
37580185 Mendes / MS","Área Nascimento, 75
Suzana
41870-953 Correia das Pedras / AP",Brasil
51,Ana Julia Ferreira,706.421.859-30,38,11/04/1986,"Praça de Carvalho, 2
Monte São José
10165995 Moreira / PE","Núcleo Laura Porto, 11
Vila Oeste
25386-533 Azevedo do Campo / RO",Brasil
52,Vitória Brito,091.254.368-05,53,19/04/1971,"Esplanada Ryan Machado, 44
Maria Virgínia
10422712 Cirino do Norte / PI","Área de Fonseca, 15
Bonsucesso
22353220 Machado / RN",Brasil
53,Mathias Silva,740.518.623-80,31,14/06/1993,"Loteamento Ana Lívia Rodrigues, 485
Vila Tirol
09507297 Abreu / PI","Largo Oliveira, 97
Vila Copasa
74151981 Cavalcanti / MT",Brasil
54,Sr. Danilo Aragão,904.723.815-04,29,27/03/1995,"Campo de Mendonça, 72
Santo Antônio
54374489 Viana / GO","Colônia Dante Pacheco, 9
Vila Jardim Leblon
87265382 da Luz da Serra / BA",Brasil
55,Lunna Sousa,694.015.728-01,39,13/11/1985,"Jardim de Mendes
Jonas Veiga
25764-117 Fernandes de Silveira / MT","Residencial de Aragão, 5
Dom Silverio
83976-384 Pinto / SE",Brasil
56,Vitória Silveira,582.064.139-60,39,04/04/1985,"Alameda Leonardo Vargas, 158
Casa Branca
06969-436 Ribeiro de Vasconcelos / RJ","Favela de Cavalcante, 65
Vila Nova Paraíso
75154347 Moraes / AL",Brasil
57,Melissa Almeida,014.793.285-88,55,25/04/1969,"Conjunto Rodrigues, 816
Betânia
75532-653 Machado / MT","Favela Antônio Rodrigues, 42
Nova Vista
87245-845 Cirino do Amparo / RJ",Brasil
58,Otávio Machado,953.761.084-57,42,19/10/1982,"Vale da Cunha, 1
Santa Amelia
19275462 Gonçalves de Minas / ES","Chácara Davi Miguel Viana, 19
Vila Formosa
12048-275 Montenegro do Amparo / MA",Brasil
59,Juliana Abreu,146.573.982-37,59,02/10/1965,"Vale Alexandre Cavalcante, 12
Pongelupe
25745-247 Pacheco / RS","Conjunto Lopes, 10
Campo Alegre
91871-528 Siqueira do Campo / RO",Brasil
60,Eloá Ramos,016.954.738-84,51,01/07/1973,"Travessa de Cirino, 10
Vila Batik
67683-483 Lopes / SC","Alameda Aparecida, 8
Casa Branca
12867-391 da Conceição Verde / PE",Brasil
61,Sophia Gomes,546.928.730-00,36,23/04/1988,"Trecho de Carvalho, 43
Cenaculo
44780-666 Pinto de Moraes / SP","Favela Macedo, 92
Solar Do Barreiro
51392114 Borges / DF",Brasil
62,Kamilly Viana,140.362.987-04,35,17/02/1989,"Loteamento Ravi Lucca Ribeiro, 572
Vila De Sá
14469-418 Viana de Minas / PB","Morro Maria Fernanda Lima, 207
Vila Engenho Nogueira
44409948 Costa Alegre / CE",Brasil
63,Mirella Costa,619.804.372-03,36,07/12/1988,"Vila Mendes, 69
Ipe
86211372 Moura / GO","Residencial de Ribeiro
Ambrosina
35795-006 Barbosa / TO",Brasil
64,Srta. Marina Alves,132.047.569-80,54,31/10/1970,"Ladeira Gomes, 37
Comiteco
77325971 Campos de Sampaio / PA","Distrito Laura Nascimento, 863
Mangueiras
65777-186 Andrade de Mendonça / RS",Brasil
65,Clara Santos,035.498.726-74,25,02/12/1999,"Distrito Bruno da Mota, 5
São Jorge 3ª Seção
55003-611 Porto do Norte / AC","Conjunto de Vargas, 783
Pongelupe
20999558 Azevedo das Flores / RR",Brasil
66,Thales da Luz,213.870.945-05,21,18/05/2003,"Vereda de Cardoso
Nova Cachoeirinha
53288957 Montenegro do Galho / AC","Feira Alexandre Almeida, 544
São Salvador
69421710 Ferreira de Fernandes / MA",Brasil
67,Sr. Vinicius Duarte,270.413.659-99,33,06/03/1991,"Colônia Daniel Machado, 11
Cruzeiro
07763566 Siqueira / MT","Praça Vicente Campos, 5
Conjunto Providencia
68988-041 Sales de Minas / RJ",Brasil
68,Gael Henrique Pimenta,169.204.387-04,33,10/03/1991,"Estação Elisa Sousa, 34
Vila Copacabana
60301255 da Costa de Borges / SP","Largo de Cassiano, 3
São Francisco Das Chagas
57047241 Andrade / ES",Brasil
69,Fernando Cavalcanti,154.296.837-28,40,11/03/1984,"Parque de Albuquerque, 89
Paraíso
80343-920 Ribeiro / RO","Passarela Moraes
Vila Sesc
73858243 Abreu da Prata / ES",Brasil
70,Maria Julia da Costa,871.402.593-05,35,02/08/1989,"Residencial Sampaio, 71
Ipiranga
55794-894 Martins / GO","Colônia Maria Júlia Rios, 59
Nova Gameleira
73790711 Barros / AL",Brasil
71,Gael Caldeira,073.892.145-97,26,25/04/1998,"Jardim Mendonça, 42
Vila Nova Dos Milionarios
01940-185 Melo de Castro / CE","Quadra Rael Abreu, 20
São Jorge 1ª Seção
15034-422 Pacheco / ES",Brasil
72,Emanuella Oliveira,251.903.486-60,27,20/09/1997,"Quadra de Viana, 24
Castanheira
25133235 Costa / MT","Trevo João Miguel Pimenta, 23
Vila De Sá
28829420 Vasconcelos Alegre / SP",Brasil
73,Mirella da Rosa,074.528.139-79,26,05/12/1998,"Jardim de Aparecida
Virgínia
62613-201 Caldeira / RN","Parque Camargo, 68
Miramar
95619-237 Barros / MS",Brasil
74,Kaique Barros,850.374.196-20,51,24/06/1973,"Travessa Viana, 51
Ambrosina
72341113 Vieira / RS","Lagoa Camargo, 45
Petropolis
74920485 Cunha Grande / MS",Brasil
75,Matteo Pimenta,695.740.831-01,45,03/06/1979,"Fazenda Pacheco, 67
Vila Califórnia
66665673 Pires / PI","Fazenda de Borges
Vila Vista Alegre
54502-665 Melo do Oeste / AM",Brasil
76,Vitor Hugo Leão,530.864.192-70,39,15/12/1985,"Viela Bianca Cardoso, 9
Camargos
57644-766 Abreu / RR","Núcleo Araújo, 55
Vila Ouro Minas
05994-056 da Mota dos Dourados / GO",Brasil
77,Dr. Vitor Gabriel Casa Grande,675.104.928-58,54,05/07/1970,"Vale de Borges
Camponesa 2ª Seção
91319-995 Siqueira / DF","Vereda Borges, 22
Buritis
03017-573 Costela Paulista / DF",Brasil
78,Sr. Matheus Rios,574.018.623-44,59,22/10/1965,"Núcleo Dante Barbosa, 640
Candelaria
76997-697 Albuquerque dos Dourados / SP","Favela Vieira
Tirol
03543389 Campos / RN",Brasil
79,Guilherme Rios,302.648.915-89,34,07/05/1990,"Núcleo Davi Miguel das Neves, 65
Floresta
90087-437 Alves Paulista / PR","Residencial Guerra, 4
Silveira
47095834 Rocha / BA",Brasil
80,Sra. Maria Julia Silveira,130.765.928-40,31,20/05/1993,"Sítio de Cirino, 81
Barão Homem De Melo 1ª Seção
08239807 Cavalcanti / MG","Praça de Fogaça, 5
Atila De Paiva
64594555 Aparecida do Amparo / PA",Brasil
81,Benjamin da Mota,492.063.815-98,43,14/09/1981,"Rua Pimenta, 98
Tupi A
19066-827 da Paz de Moreira / MS","Setor Lavínia Sousa
Vila São Gabriel Jacui
36554-791 Martins Paulista / DF",Brasil
82,Ana Lívia Freitas,684.315.072-17,29,23/01/1996,"Esplanada Novais, 7
João Pinheiro
83714-140 Farias de Ferreira / SE","Condomínio Pietra Pacheco, 13
Funcionários
80433498 Oliveira das Flores / MA",Brasil
83,Luiz Felipe Mendonça,094.673.258-29,36,21/11/1988,"Parque Natália Sales, 853
Vila Aeroporto
99729-690 Almeida Paulista / AM","Condomínio Jade da Cruz, 87
Carlos Prates
13258-384 da Luz da Prata / PR",Brasil
84,Dra. Letícia da Paz,482.963.751-09,34,31/12/1990,"Rodovia de da Costa, 70
Aparecida 7ª Seção
47324-502 Cirino Paulista / RR","Alameda Kamilly Jesus, 71
Cabana Do Pai Tomás
62787-528 Araújo / ES",Brasil
85,Pietro Santos,326.751.094-52,52,25/03/1972,"Estação da Paz, 28
Funcionários
42954923 Montenegro do Galho / PB","Alameda Cavalcante, 56
Das Industrias I
84983-121 Cardoso de Teixeira / TO",Brasil
86,Olivia Dias,327.196.805-59,33,06/01/1992,"Loteamento de Brito, 51
Marmiteiros
39509-292 Martins de Goiás / BA","Vereda Lunna Dias
União
09707-354 Costa de Goiás / AM",Brasil
87,Isabel Cardoso,038.915.672-86,37,27/05/1987,"Conjunto Thiago da Rosa, 80
Vila União
20630473 Barbosa do Oeste / PI","Fazenda de Silva, 882
Vila São Gabriel Jacui
90136214 da Luz do Amparo / RO",Brasil
88,Davi Alves,571.860.234-44,34,11/10/1990,"Trevo Rocha, 360
Piraja
77241-515 Campos do Sul / SC","Viela de Guerra, 1
Santa Efigênia
02417102 Silveira / AM",Brasil
89,Breno Mendonça,312.487.956-28,51,09/06/1973,"Viela de Nunes, 37
Maria Goretti
46581-709 Leão / PR","Fazenda de Machado, 61
Bacurau
39040846 Novaes de Goiás / RR",Brasil
90,Isabella Pereira,980.316.425-24,29,05/05/1995,"Favela de Peixoto, 242
Coração Eucarístico
90515-075 das Neves Grande / RJ","Passarela Cassiano, 5
Vila Esplanada
58460726 Ribeiro de Souza / MS",Brasil
91,Raul Sá,134.872.609-13,29,06/03/1995,"Campo de Lima, 503
São Cristóvão
60569-334 da Mota de Rocha / SP","Viaduto Enrico Jesus, 51
Piratininga
46155-979 Pinto / TO",Brasil
92,Maria Júlia Barbosa,798.503.162-68,20,06/09/2004,"Vereda Fernandes, 7
Vila Nova Gameleira 1ª Seção
20241-853 Correia Grande / AP","Feira Josué da Luz, 32
Virgínia
25531-715 Gonçalves Grande / SC",Brasil
93,Benicio Vieira,786.135.042-80,49,13/08/1975,"Ladeira Lara Mendes
Conjunto Califórnia Ii
45032-181 Novaes / MS","Distrito Marques, 25
Vila Nova Gameleira 2ª Seção
72717999 Novais Verde / GO",Brasil
94,Alícia da Rosa,360.784.591-39,59,17/04/1965,"Lago da Conceição, 21
Bandeirantes
50003481 Moraes / PR","Lagoa José Miguel Nascimento, 87
São João Batista
01676614 da Conceição de Câmara / RN",Brasil
95,Sr. Thales Costela,168.230.549-05,48,16/10/1976,"Condomínio Brenda Fonseca, 465
Engenho Nogueira
60578-515 Ribeiro / GO","Vila de Costa, 35
São Francisco
08972822 Fernandes / RJ",Brasil
96,Srta. Gabriela Marques,973.826.514-28,30,01/11/1994,"Fazenda Bento Campos, 69
Santa Margarida
40184059 da Mota da Prata / PB","Esplanada Teixeira, 19
Universo
76038766 Fogaça Alegre / AM",Brasil
97,Bella Cavalcante,356.214.087-80,40,19/10/1984,"Vila de Câmara, 99
Vila Piratininga Venda Nova
30086-616 da Cruz do Sul / TO","Trevo Isaque Pacheco, 2
Mangabeiras
55607247 Rodrigues do Campo / RR",Brasil
98,Hellena Nogueira,783.624.105-07,22,06/10/2002,"Praia Cavalcanti, 44
Vila Da Ária
45955-753 Jesus da Mata / RR","Estrada de Cirino, 447
Santa Amelia
66500-793 Pereira / MS",Brasil
99,Gael Henrique Santos,740.918.326-87,59,01/04/1965,"Favela Natália Borges, 33
Alta Tensão 1ª Seção
39725-057 Lima das Flores / PA","Parque de Silveira, 238
Dom Silverio
92734-096 da Rosa / PA",Brasil
